bl,,fitcbsa alone,,fbsaalone2,,fbsaalone3,,ph5 1,,ph5 2,,pH 5 3,,pH 6 1,,pH 6 2,,pH 6 3,,pH 7 1,,pH 7 2,,pH 7 3,,pH 8 1,,pH 8 2,,pH 8 3,,pH 9 1,,pH 9 2,,pH 9 3,,pH 10 1,,pH 10 2,,pH 10 3,,pH 11 1,,pH 11 2,,pH 11 3,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
508.9500122,-2.367185831,508.9500122,100.8175583,508.9500122,99.85221863,508.9500122,99.25270081,508.9500122,0.5443341732,508.9500122,0.712993145,508.9500122,2.001552343,508.9500122,4.950572014,508.9500122,11.64064884,508.9500122,10.53356171,508.9500122,19.97909355,508.9500122,10.51172733,508.9500122,12.01951885,508.9500122,13.33833408,508.9500122,17.27509689,508.9500122,22.4506855,508.9500122,46.66071701,508.9500122,25.03556824,508.9500122,75.64913177,508.9500122,272.9570007,508.9500122,357.6833496,508.9500122,343.1911011,508.9500122,446.7539978,508.9500122,450.0207825,508.9500122,413.6882935,
510,-2.330330849,510,106.0846786,510,105.699379,510,104.0730438,510,0.610011816,510,0.9260818958,510,1.999008417,510,5.219172478,510,11.89024925,510,10.91687584,510,21.31951141,510,10.98575687,510,12.49683094,510,14.35555172,510,18.19446373,510,24.11658478,510,49.1442337,510,26.65420341,510,79.17132568,510,289.6610413,510,382.8969727,510,366.4448853,510,473.0670471,510,485.3057556,510,439.2425842,
511.0599976,-2.36684823,511.0599976,111.9576263,511.0599976,110.1770096,511.0599976,113.2277069,511.0599976,0.7220270634,511.0599976,0.8158142567,511.0599976,2.347049475,511.0599976,5.417126656,511.0599976,12.46109581,511.0599976,11.00335503,511.0599976,22.49325371,511.0599976,11.09288216,511.0599976,12.74123669,511.0599976,14.14787388,511.0599976,19.06289291,511.0599976,24.56511879,511.0599976,51.21897125,511.0599976,27.62726784,511.0599976,82.22534943,511.0599976,305.9829712,511.0599976,404.1188965,511.0599976,384.3509216,511.0599976,491.2060547,511.0599976,500.0941467,511.0599976,460.771637,
511.9599915,-2.329234362,511.9599915,117.6522293,511.9599915,114.6990814,511.9599915,115.3031464,511.9599915,0.8942079544,511.9599915,0.8293898106,511.9599915,2.466293097,511.9599915,5.427797318,511.9599915,13.12964916,511.9599915,11.93986797,511.9599915,22.80451393,511.9599915,11.66407013,511.9599915,13.21047592,511.9599915,14.83751965,511.9599915,19.26509857,511.9599915,24.94749641,511.9599915,52.36605453,511.9599915,28.49056816,511.9599915,86.89569855,511.9599915,319.4190979,511.9599915,420.6457214,511.9599915,402.7932434,511.9599915,520.8352661,511.9599915,510.6296387,511.9599915,491.8920898,
513.0300293,-2.339316845,513.0300293,123.422493,513.0300293,118.6895905,513.0300293,120.5579147,513.0300293,0.9934167862,513.0300293,0.7409069538,513.0300293,2.495420694,513.0300293,5.696907043,513.0300293,13.64555264,513.0300293,12.208251,513.0300293,23.66143799,513.0300293,12.09480572,513.0300293,13.59859371,513.0300293,14.91692638,513.0300293,20.20592308,513.0300293,26.6360569,513.0300293,56.01444626,513.0300293,29.37462997,513.0300293,89.73961639,513.0300293,328.3450928,513.0300293,445.8016968,513.0300293,416.5435181,513.0300293,539.6290283,513.0300293,563.1177979,513.0300293,516.3370361,
513.9299927,-2.422850132,513.9299927,127.1149139,513.9299927,123.7436981,513.9299927,122.3484802,513.9299927,0.874112606,513.9299927,0.9994215965,513.9299927,2.622643232,513.9299927,5.689723015,513.9299927,13.53731346,513.9299927,12.37987423,513.9299927,24.27851105,513.9299927,12.45582867,513.9299927,13.91963673,513.9299927,15.88233471,513.9299927,20.29487801,513.9299927,26.58317947,513.9299927,57.43546677,513.9299927,29.59474945,513.9299927,93.84389496,513.9299927,346.6748047,513.9299927,471.789093,513.9299927,438.0298157,513.9299927,568.7906494,513.9299927,581.6968994,513.9299927,533.0602417,
515,-2.339492321,515,128.4679871,515,126.6627197,515,125.535614,515,0.8078608513,515,0.8700833321,515,2.672539949,515,5.965338707,515,13.45842838,515,12.43673897,515,24.06741714,515,12.47702599,515,13.91623974,515,15.63397121,515,20.47942734,515,26.60939598,515,58.10653305,515,30.69589996,515,93.37026215,515,358.3481445,515,479.0296936,515,445.5903625,515,580.5787354,515,599.4528198,515,550.6952515,
516.0599976,-2.311965227,516.0599976,131.5935974,516.0599976,128.1877289,516.0599976,126.7889252,516.0599976,1.125495434,516.0599976,1.059538364,516.0599976,2.657613993,516.0599976,6.079369545,516.0599976,13.93827152,516.0599976,12.36033249,516.0599976,24.27544022,516.0599976,12.64380646,516.0599976,14.32791805,516.0599976,15.81033993,516.0599976,21.29361534,516.0599976,27.58042145,516.0599976,59.66087341,516.0599976,30.77491379,516.0599976,95.13946533,516.0599976,365.2242126,516.0599976,485.7401428,516.0599976,455.5747986,516.0599976,594.5678711,516.0599976,611.8036499,516.0599976,558.8374023,
516.960022,-2.367070675,516.960022,132.5636292,516.960022,132.0801544,516.960022,129.3549652,516.960022,0.987842083,516.960022,1.099569321,516.960022,2.679629564,516.960022,6.256619453,516.960022,14.22272968,516.960022,12.77609921,516.960022,25.39723206,516.960022,12.73219299,516.960022,14.44637775,516.960022,15.92918682,516.960022,20.98451614,516.960022,27.63707161,516.960022,59.04630661,516.960022,30.96459961,516.960022,97.53710175,516.960022,374.8318176,516.960022,503.1678467,516.960022,464.1894226,516.960022,594.126709,516.960022,623.3151245,516.960022,570.8737793,
518.0300293,-2.262561321,518.0300293,133.3643799,518.0300293,131.0851746,518.0300293,131.5458984,518.0300293,1.150032759,518.0300293,0.870759964,518.0300293,2.634164095,518.0300293,5.85871315,518.0300293,13.76618481,518.0300293,12.74117374,518.0300293,25.18725204,518.0300293,12.62578392,518.0300293,14.12488842,518.0300293,15.82720852,518.0300293,21.08749199,518.0300293,27.39951706,518.0300293,60.17555237,518.0300293,31.85531998,518.0300293,97.95705414,518.0300293,378.3464661,518.0300293,503.1688538,518.0300293,479.3882751,518.0300293,603.7186279,518.0300293,627.5466309,518.0300293,579.8386841,
